Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
363,Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
364,Bernardo,br BRA,DF,Brighton,24,1995,7.5,0,7,2,28.6,0.93,0.27,0,0,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
365,Callum Robinson,ie IRL,"FW,MF",Sheffield Utd,24,1995,7.5,1,13,3,23.1,1.73,0.4,0.08,0.33,13.5,0,0,0,2.1,2.1,0.16,-1.1,-1.1
366,Martinelli,br BRA,FW,Arsenal,18,2001,7.4,3,12,5,41.7,1.63,0.68,0.25,0.6,13.2,0,0,0,2.3,2.3,0.19,0.7,0.7
367,Michael Obafemi,ie IRL,FW,Southampton,19,2000,7.4,3,12,4,33.3,1.62,0.54,0.25,0.75,14.3,0,0,0,1.9,1.9,0.16,1.1,1.1
368,Max Meyer,de GER,"MF,FW",Crystal Palace,23,1995,7.3,0,9,2,22.2,1.24,0.27,0,0,17,0,0,0,0.6,0.6,0.07,-0.6,-0.6
369,Pedro,es ESP,FW,Chelsea,32,1987,7.3,1,23,9,39.1,3.13,1.23,0.04,0.11,15.7,0,0,0,2.8,2.8,0.12,-1.8,-1.8
370,Josip Drmi?,ch SUI,"FW,MF",Norwich City,26,1992,7.2,1,13,5,38.5,1.81,0.7,0.08,0.2,13.2,0,0,0,2.6,2.6,0.23,-1.6,-1.6
371,Rúben Vinagre,pt POR,DF,Wolves,20,1999,7.2,0,5,0,0,0.69,0,0,,13,0,0,0,0.3,0.3,0.07,-0.3,-0.3
372,Lloyd Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,0,1,0,0,0.14,0,0,,20,0,0,0,0,0,0.03,0,0
373,Mario Vran?i?,ba BIH,MF,Norwich City,30,1989,7.1,1,14,3,21.4,1.98,0.42,0.07,0.33,18.2,2,0,0,1.7,1.7,0.12,-0.7,-0.7
374,Andy Carroll,eng ENG,FW,Newcastle Utd,30,1989,7,0,15,3,20,2.14,0.43,0,0,13.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9
375,Arnaut Groeneveld,nl NED,MF,Bournemouth,22,1997,7,0,13,4,30.8,1.86,0.57,0,0,18.7,1,0,0,1,1,0.08,-1,-1
376,Reiss Nelson,eng ENG,FW,Arsenal,19,1999,7,1,11,4,36.4,1.57,0.57,0.09,0.25,16.8,0,0,0,0.9,0.9,0.08,0.1,0.1
377,Eddie Nketiah,eng ENG,FW,Arsenal,20,1999,7,2,15,5,33.3,2.13,0.71,0.13,0.4,12.3,0,0,0,3.1,3.1,0.21,-1.1,-1.1
378,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,28,1990,6.9,1,11,2,18.2,1.59,0.29,0.09,0.5,14.5,2,0,0,1.1,1.1,0.1,-0.1,-0.1
379,Demarai Gray,eng ENG,"MF,FW",Leicester City,23,1996,6.9,2,21,6,28.6,3.04,0.87,0.1,0.33,19.8,3,0,1,2.5,1.7,0.08,-0.5,0.3
380,Ryan Bennett,eng ENG,DF,Wolves,29,1990,6.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
381,Daryl Janmaat,nl NED,DF,Watford,30,1989,6.7,0,4,0,0,0.59,0,0,,17.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3
382,Ben Osborn,eng ENG,"MF,DF",Sheffield Utd,24,1994,6.6,0,3,1,33.3,0.45,0.15,0,0,12.3,0,0,0,0.3,0.3,0.11,-0.3,-0.3
383,Pablo Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,0,1,0,0,0.15,0,0,,12.2,0,0,0,0,0,0.04,0,0
384,Rob Holding,eng ENG,DF,Arsenal,23,1995,6.5,0,1,0,0,0.15,0,0,,5.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
385,Timm Klose,ch SUI,DF,Norwich City,31,1988,6.5,0,3,0,0,0.46,0,0,,10,0,0,0,0.4,0.4,0.13,-0.4,-0.4
386,Tariq Lamptey,eng ENG,DF,Brighton,18,2000,6.5,0,2,0,0,0.31,0,0,,24.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
387,Matthew Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,2,4,2,50,0.63,0.31,0.5,1,19.4,0,0,0,0.4,0.4,0.11,1.6,1.6
388,Kevin Long,ie IRL,DF,Burnley,28,1990,6.3,0,2,0,0,0.32,0,0,,10.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
389,Maya Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0,4,3,75,0.64,0.48,0,0,12.6,0,0,0,0.5,0.5,0.12,-0.5,-0.5
390,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,0,16,5,31.3,2.63,0.82,0,0,9.4,0,0,0,1.9,1.9,0.12,-1.9,-1.9
391,Ørjan Nyland,no NOR,GK,Aston Villa,28,1990,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
392,Japhet Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0,3,1,33.3,0.51,0.17,0,0,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
393,David Brooks,wls WAL,MF,Bournemouth,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.5,21.7,1,0,0,0.8,0.8,0.13,0.2,0.2
394,Jack Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
395,Aaron Lennon,eng ENG,MF,Burnley,32,1987,5.5,0,1,0,0,0.18,0,0,,17.7,0,0,0,0,0,0.02,0,0
396,Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,23,1996,5.3,1,4,1,25,0.75,0.19,0.25,1,20.7,0,0,0,0.5,0.5,0.13,0.5,0.5
397,Robbie Brady,ie IRL,MF,Burnley,27,1992,5,1,12,1,8.3,2.38,0.2,0.08,1,15.2,2,0,0,1.2,1.2,0.1,-0.2,-0.2
398,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
399,Anthony Gordon,eng ENG,"MF,FW",Everton,18,2001,4.9,0,6,1,16.7,1.23,0.2,0,0,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
400,Florian Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,2,4,3,75,0.81,0.61,0.5,0.67,16,0,0,0,0.6,0.6,0.14,1.4,1.4
401,Jeremy Ngakia,eng ENG,DF,West Ham,18,2000,4.9,0,1,1,100,0.2,0.2,0,0,25,0,0,0,0,0,0.03,0,0
402,David Martin,eng ENG,GK,West Ham,33,1986,4.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
403,Wes Morgan,jm JAM,DF,Leicester City,35,1984,4.8,0,3,1,33.3,0.62,0.21,0,0,10.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
404,Angeliño,es ESP,DF,Manchester City,22,1997,4.7,0,5,0,0,1.06,0,0,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
405,Leighton Baines,eng ENG,DF,Everton,34,1984,4.5,0,1,0,0,0.22,0,0,,32.4,1,0,0,0,0,0.03,0,0
406,William Smallbone,ie IRL,MF,Southampton,19,2000,4.4,0,5,0,0,1.15,0,0,,21.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3
407,Adam Lallana,eng ENG,"MF,FW",Liverpool,31,1988,4.2,1,5,1,20,1.18,0.24,0.2,1,15.3,0,0,0,1.1,1.1,0.21,-0.1,-0.1
408,Luke Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,0,3,0,0,0.74,0,0,,29.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
409,Ezequiel Schelotto,it ITA,DF,Brighton,30,1989,4,0,5,1,20,1.25,0.25,0,0,15.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
410,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
411,Alexis Mac Allister,ar ARG,"MF,FW",Brighton,20,1998,3.9,0,7,1,14.3,1.79,0.26,0,0,22.2,1,0,0,0.4,0.4,0.05,-0.4,-0.4
412,Ryan Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,0,1,0,0,0.26,0,0,,15.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1
413,Ryan Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
414,Jota Peleteiro,es ESP,"FW,MF",Aston Villa,28,1991,3.7,0,6,1,16.7,1.61,0.27,0,0,19.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
415,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,25,1993,3.5,2,11,2,18.2,3.18,0.58,0.18,1,19.4,0,0,0,0.5,0.5,0.05,1.5,1.5
416,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
417,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,11,3,27.3,3.33,0.91,0.18,0.67,12.5,0,0,0,2.4,2.4,0.21,-0.4,-0.4
418,Nampalys Mendy,sn SEN,MF,Leicester City,27,1992,3.2,0,1,1,100,0.31,0.31,0,0,26.2,0,0,0,0,0,0.02,0,0
419,Daniel Podence,pt POR,"FW,MF",Wolves,23,1995,3.2,1,10,4,40,3.11,1.25,0.1,0.25,13.6,0,0,0,1.6,1.6,0.16,-0.6,-0.6
420,Cenk Tosun,tr TUR,FW,Everton,28,1991,3.2,1,11,3,27.3,3.4,0.93,0.09,0.33,13.7,0,0,0,0.7,0.7,0.07,0.3,0.3
421,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,0,1,0,0,0.32,0,0,,9,0,0,0,0.1,0.1,0.11,-0.1,-0.1
422,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
423,Ben Johnson,eng ENG,DF,West Ham,19,2000,3,0,1,0,0,0.33,0,0,,28.3,0,0,0,0,0,0.01,0,0
424,Nacho Monreal,es ESP,DF,Arsenal,33,1986,3,0,1,0,0,0.33,0,0,,9.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1
425,Luke Thomas,eng ENG,DF,Leicester City,18,2001,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
426,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0,2,0,0,0.69,0,0,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
427,Muhamed Beši?,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,4,2,50,1.44,0.72,0,0,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
428,Takumi Minamino,jp JPN,"FW,MF",Liverpool,24,1995,2.8,0,9,2,22.2,3.25,0.72,0,0,18.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4
429,Cédric Soares,pt POR,DF,Arsenal,27,1991,2.8,1,1,1,100,0.36,0.36,1,1,24,0,0,0,0,0,0.02,1,1
430,Michy Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.5,13.1,0,0,0,2.2,2.2,0.15,-1.2,-1.2
431,Phil Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
432,Jack Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,0,1,0,0,0.37,0,0,,15,0,0,0,0,0,0.01,0,0
433,Kyle Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0,1,0,0,0.37,0,0,,21.9,0,0,0,0,0,0.02,0,0
434,Andrew Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0,1,0,0,0.38,0,0,,24.2,0,0,0,0,0,0.02,0,0
435,Neco Williams,wls WAL,DF,Liverpool,18,2001,2.6,0,7,1,14.3,2.74,0.39,0,0,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
436,Adam Idah,ie IRL,"FW,MF",Norwich City,18,2001,2.5,0,6,2,33.3,2.37,0.79,0,0,16.6,0,0,0,1,1,0.17,-1,-1
437,Yoshinori Mut?,jp JPN,"FW,MF",Newcastle Utd,27,1992,2.4,0,1,0,0,0.42,0,0,,8.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1
438,Jack Wilshere,eng ENG,MF,West Ham,27,1992,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
439,Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,23,1996,2.3,0,4,0,0,1.73,0,0,,9.1,0,0,0,0.5,0.5,0.13,-0.5,-0.5
440,Billy Gilmour,sct SCO,MF,Chelsea,18,2001,2.2,0,1,0,0,0.46,0,0,,24,0,0,0,0,0,0.03,0,0
441,Henri Lansbury,eng ENG,"MF,FW",Aston Villa,28,1990,2.2,0,2,0,0,0.92,0,0,,19,0,0,0,0.1,0.1,0.05,-0.1,-0.1
442,Tyrick Mitchell,eng ENG,DF,Crystal Palace,19,1999,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
443,Max Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
444,Xherdan Shaqiri,ch SUI,"FW,MF",Liverpool,27,1991,2.1,1,4,1,25,1.95,0.49,0.25,1,19.5,0,0,0,0.6,0.6,0.14,0.4,0.4
445,Axel Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
446,Simon Moore,eng ENG,GK,Sheffield Utd,29,1990,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
447,Darren Randolph,ie IRL,GK,West Ham,32,1987,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
448,Cenk Tosun,tr TUR,FW,Crystal Palace,28,1991,2,1,4,2,50,2.03,1.02,0.25,0.5,11.9,0,0,0,0.7,0.7,0.18,0.3,0.3
449,Michael McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
450,Jesús Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
451,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
452,Albian Ajeti,ch SUI,"MF,FW",West Ham,22,1997,1.5,0,3,0,0,1.94,0,0,,14.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
453,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,0,1,0,0,0.66,0,0,,10,0,0,0,0.1,0.1,0.06,-0.1,-0.1
454,Jean-Philippe Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
455,Phil Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,2,1,50,1.33,0.67,0,0,10,0,0,0,0.2,0.2,0.09,-0.2,-0.2
456,Ki Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
457,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
458,Morgan Gibbs-White,eng ENG,"MF,FW",Wolves,19,2000,1.4,0,2,0,0,1.4,0,0,,16,0,0,0,0.1,0.1,0.03,-0.1,-0.1
459,Curtis Jones,eng ENG,MF,Liverpool,18,2001,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,16.7,0,0,0,0.9,0.9,0.15,0.1,0.1
460,Marcos Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,0,1,0,0,0.74,0,0,,5.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1
461,Jonathan Kodjia,ci CIV,"FW,MF",Aston Villa,29,1989,1.3,0,2,0,0,1.54,0,0,,19.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
462,Pablo Marí,es ESP,DF,Arsenal,25,1993,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
463,Carlos Sánchez,co COL,"MF,DF",West Ham,33,1986,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
464,Javier Hernández,mx MEX,FW,West Ham,31,1988,1.2,1,3,2,66.7,2.52,1.68,0.33,0.5,16.4,1,0,0,0.8,0.8,0.27,0.2,0.2
465,Henrikh Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,0,2,0,0,1.61,0,0,,14.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
466,Richairo Živkovi?,nl NED,FW,Sheffield Utd,22,1996,1.2,0,1,0,0,0.8,0,0,,13.9,0,0,0,0,0,0.04,0,0
467,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,0,7,3,42.9,6.24,2.67,0,0,11.2,0,0,0,1.5,1.5,0.22,-1.5,-1.5
468,Emile Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
469,Connor Wickham,eng ENG,"FW,MF",Crystal Palace,26,1993,1.1,1,4,2,50,3.75,1.87,0.25,0.5,12.3,0,0,0,1.3,1.3,0.33,-0.3,-0.3
470,Jürgen Locadia,nl NED,"MF,FW",Brighton,25,1993,1,0,2,1,50,2.09,1.05,0,0,9.7,0,0,0,0.3,0.3,0.17,-0.3,-0.3
471,Mark Travers,ie IRL,GK,Bournemouth,20,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
472,Jake Vokins,eng ENG,DF,Southampton,19,2000,1,0,1,0,0,1,0,0,,28.8,0,0,0,0,0,0.02,0,0
473,Oliver Skipp,eng ENG,"MF,DF",Tottenham,18,2000,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
474,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,0.8,1,1,1,100,1.23,1.23,1,1,6.7,0,0,0,0.1,0.1,0.15,0.9,0.9
475,Gedson Fernandes,pt POR,"MF,DF",Tottenham,20,1999,0.8,0,2,0,0,2.65,0,0,,20.4,0,0,0,0,0,0.02,0,0
476,Juan Foyth,ar ARG,DF,Tottenham,21,1998,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
477,Ignacio Pussetto,ar ARG,"FW,DF",Watford,23,1995,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
478,Isaac Success,ng NGA,"FW,MF",Watford,23,1996,0.8,0,1,1,100,1.29,1.29,0,0,11,0,0,0,0.1,0.1,0.07,-0.1,-0.1
479,Gaëtan Bong,cm CMR,"MF,DF",Brighton,31,1988,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
480,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,20,1999,0.7,0,1,0,0,1.34,0,0,,7,0,0,0,0.2,0.2,0.18,-0.2,-0.2
481,Dimitri Foulquier,fr FRA,"DF,MF",Watford,26,1993,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
482,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
483,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
484,Sebastian Prödl,at AUT,DF,Watford,32,1987,0.6,0,2,0,0,3.21,0,0,,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
485,Indiana Vassilev,us USA,"FW,MF",Aston Villa,18,2001,0.6,0,1,0,0,1.76,0,0,,21.5,0,0,0,0,0,0.03,0,0
486,Dennis Srbeny,de GER,"MF,FW",Norwich City,25,1994,0.5,1,2,1,50,3.83,1.91,0.5,1,8.5,0,0,0,0.6,0.6,0.3,0.4,0.4
487,Tahith Chong,nl NED,"FW,DF",Manchester Utd,19,1999,0.4,0,1,0,0,2.43,0,0,,12.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
488,Leon Clarke,eng ENG,"FW,MF",Sheffield Utd,34,1985,0.4,0,1,0,0,2.57,0,0,,9,0,0,0,0.3,0.3,0.33,-0.3,-0.3
489,Nathan Holland,eng ENG,MF,West Ham,21,1998,0.4,0,1,1,100,2.73,2.73,0,0,24,0,0,0,0,0,0.05,0,0
490,Tariq Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
491,Josh Martin,eng ENG,"FW,MF",Norwich City,17,2001,0.4,0,1,1,100,2.43,2.43,0,0,13,0,0,0,0.3,0.3,0.31,-0.3,-0.3
492,João Pedro Junqueira,br BRA,"FW,MF",Watford,17,2001,0.3,0,1,0,0,3.6,0,0,,16,0,0,0,0.1,0.1,0.05,-0.1,-0.1
493,Patrick Roberts,eng ENG,"FW,MF",Norwich City,22,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
494,Sam Surridge,eng ENG,"FW,MF",Bournemouth,21,1998,0.3,0,2,0,0,6.67,0,0,,11.6,0,0,0,0.4,0.4,0.2,-0.4,-0.4
495,Victor Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
496,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,1,0,0,4.5,0,0,,31.3,0,0,0,0,0,0.01,0,0
497,Borja Bastón,es ESP,"MF,FW",Aston Villa,26,1992,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
498,Thomas Doyle,eng ENG,MF,Manchester City,17,2001,0.2,0,1,1,100,5.63,5.63,0,0,19,0,0,0,0.1,0.1,0.08,-0.1,-0.1
499,Ralf Fährmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
